Оценщик,Роль_оценщика,Оцениваемый,Должность_оцениваемого,Категория,Оценка,Комментарий
Марина Соколова,Руководитель,Алексей Петров,Менеджер по продажам,Лидерство,4,"Берёт на себя инициативу в сложных переговорах, команда за ним идёт"
Марина Соколова,Руководитель,Алексей Петров,Менеджер по продажам,Коммуникация,3,"Иногда затягивает с ответами на письма, особенно внутренние"
Марина Соколова,Руководитель,Алексей Петров,Менеджер по продажам,Экспертиза,5,"Лучше всех знает продуктовую линейку, клиенты его ценят"
Ирина Козлова,Коллега,Алексей Петров,Менеджер по продажам,Командная работа,3,"Не всегда делится контактами клиентов, работает скорее соло"
Ирина Козлова,Коллега,Алексей Петров,Менеджер по продажам,Коммуникация,4,"На встречах высказывается чётко, аргументирует позицию"
Дмитрий Волков,Коллега,Алексей Петров,Менеджер по продажам,Лидерство,4,"Когда руководитель в отпуске, Алексей спокойно тянет отдел"
Дмитрий Волков,Коллега,Алексей Петров,Менеджер по продажам,Экспертиза,4,"Хорошо разбирается в рынке, но иногда игнорирует новые продукты"
Анна Сидорова,Подчинённый,Алексей Петров,Менеджер по продажам,Лидерство,5,"Всегда поддержит, если нужна помощь. Справедливо распределяет задачи"
Анна Сидорова,Подчинённый,Алексей Петров,Менеджер по продажам,Коммуникация,4,"Объясняет задачи понятно, не приходится переспрашивать"
Анна Сидорова,Подчинённый,Алексей Петров,Менеджер по продажам,Командная работа,4,"Защищает интересы команды перед руководством"
Олег Фёдоров,Руководитель,Алексей Петров,Менеджер по продажам,Экспертиза,4,"Сильный переговорщик, хорошо чувствует клиента"
Олег Фёдоров,Руководитель,Алексей Петров,Менеджер по продажам,Командная работа,3,"Надо больше взаимодействовать с маркетингом, сейчас каждый сам по себе"
Марина Соколова,Руководитель,Ирина Козлова,Аналитик,Экспертиза,5,"Отличное владение BI-инструментами, дашборды делает быстро и качественно"
Марина Соколова,Руководитель,Ирина Козлова,Аналитик,Коммуникация,3,"Отчёты иногда перегружены деталями — руководству нужны выводы, а не 40 графиков"
Марина Соколова,Руководитель,Ирина Козлова,Аналитик,Лидерство,2,"Пока не проявляет лидерских качеств, ждёт указаний"
Алексей Петров,Коллега,Ирина Козлова,Аналитик,Командная работа,4,"Всегда помогает с цифрами, если попросить. Отзывчивая"
Алексей Петров,Коллега,Ирина Козлова,Аналитик,Экспертиза,5,"Без неё мы бы не разобрались в данных по воронке продаж"
Дмитрий Волков,Коллега,Ирина Козлова,Аналитик,Коммуникация,3,"Тихая на совещаниях, хотя когда говорит — по делу"
Павел Новиков,Подчинённый,Ирина Козлова,Аналитик,Лидерство,3,"Задачи ставит, но не всегда объясняет приоритеты"
